CD2AP	0.004656731 0.0032102054 0.00030156464 0.000950997 0.00013112508 0.0007471282 -0.00070328923 -0.002321807 -0.0021734368 -0.0049689654 -0.0015807579 -0.004733975 0.004194011 -0.004464774 -0.0038798784 0.002436664 0.0031772626 0.0020075515 -0.0038987966 0.004965524 0.0042376867 -0.002115478 -0.0015042381 0.0046615424 0.0034778998 0.0023284773 0.0005596942 0.0025075923 -0.0039248927 -0.0012262828 -0.0009596519 0.0013510472 -0.003761752 0.002518052 0.0036910195 0.0021619415 0.0027582843 0.0042170994 0.0014616236 -0.00409517 -0.0038446232 -0.0030316461 -0.0011913155 -0.0037909853 -0.0028850026 -0.004472703 -0.0005356222 -0.00065441005 -0.0018637567 0.00090234424 -0.0004975176 -0.0031571174 0.0015312965 0.0014634217 0.0012665071 0.00074806594 -0.0015229449 0.0010497052 -0.0040367222 0.002946272 -0.0015886568 -0.0016583741 0.0014775948 -0.0030953407 0.0033048086 0.0012742721 0.0037908677 0.0018330273 0.0026837392 0.00067890354 0.003957781 0.0033101575 -0.0022444457 -0.001062225 0.0020843064 0.0031012078 -0.0021361832 0.0045829983 -0.0039697546 0.0019279056 -0.00086619216 -0.0015963833 0.0037551739 -0.0043593254 0.004270387 -0.001662818 0.00025354774 0.0039380942 -0.0043995203 -0.004127981 2.2241135e-05 0.0036068845 -0.0047675064 -0.002734915 -0.004861045 -0.0015235889 -0.00077632844 -0.0005723198 -0.0042006643 -0.0013104872 
DHODH	0.003958217 -0.002891127 0.0011598681 0.00023796516 -0.0015622404 0.0002952554 -0.0011494766 -0.002332978 0.0012507237 -0.004205463 -0.0037491352 0.0039576 0.00022395044 0.0031448419 0.003664295 0.0034421692 0.0035113269 -0.004224578 -0.0038759287 -0.004277374 -0.0016222788 -0.002519577 0.004477481 0.0038586063 -0.0008235226 -0.0009412388 -0.00390766 -0.0032009194 -0.0001415164 -0.0038321784 -0.004392057 -0.0038007107 0.002515525 -0.0046130293 -0.0025945522 0.0036697357 -0.0025996119 -0.0024228427 2.78737e-05 -0.0012651079 -0.0038586778 0.0009916535 -0.002933102 -0.0014299237 0.0040732794 0.0035864646 -0.0019146664 -0.004862566 -0.0026596729 0.0017522133 0.0048861844 -0.0046272394 0.004066465 0.00073855824 0.0045798966 -0.0026887832 -0.00064921187 -0.0040845773 -0.00084496336 0.0010110183 -0.00052386394 0.0013823973 0.0033389449 -0.002077144 0.004632256 0.0035618138 -0.004125374 -0.0022492525 0.001475262 -0.0016943517 -0.0010404498 -0.0031336336 0.0040526963 0.00021042336 0.0016815044 -0.00073963485 -0.0014335163 -0.004621901 -0.001908335 -0.0022237545 -0.0031340963 -0.00041845703 -0.0036112107 0.0027592797 -0.0019230511 0.0028663983 0.0047688955 -0.002547236 -0.0025063935 0.0024144507 0.0020098488 0.0033557112 -0.00037504119 -0.00346299 0.0047725807 -0.0017905316 -0.00038438922 0.003432658 -0.0036415858 0.003778118 
NMS	-0.0040600733 -0.0038171213 0.0047956184 0.0016653246 0.003529747 -0.00285088 -0.0001900163 -0.003806241 -0.0028718752 -0.0045003216 0.0029249836 0.0036758548 0.0013102243 -0.0017645328 -0.0016330415 0.0020349175 0.0011168094 -0.0025988994 -0.004909454 -0.0017043888 0.003998994 -0.002540061 -0.00257129 0.0039742836 2.1455207e-05 -0.00057689275 0.00051301834 -0.004880264 -0.0018831019 0.00080514274 0.0025531722 0.0014463406 -0.0026402876 -0.0023593735 0.00012348441 -0.0019574885 0.0022062932 0.00065417873 0.0047578476 -0.002738017 0.0015910317 -0.0038614087 0.0045919577 0.0021029674 -0.0003861149 0.0046011982 0.00037440102 -0.00086904893 0.004909478 -0.0024634567 0.0049990043 0.003732774 -0.0016272104 0.0006451916 0.0006960747 -0.002725353 0.002418503 -6.969622e-05 0.0040594474 -0.0026284442 -0.0010105133 0.00010778574 0.0043563303 -0.0038340373 0.0036289766 0.0019178062 -0.0025246204 0.0036338032 -0.0028512655 0.00033934784 -0.0033683477 0.0009448358 0.0035028982 -0.0029140916 -0.0038682695 3.6672012e-05 -0.0046114144 -0.00477085 -0.004546967 0.0028517132 0.00092855137 0.0020641098 0.002366907 0.0036680608 -0.0031829386 -0.0031150249 0.00019047123 -0.0021823812 0.0020503618 -0.0018020574 0.0024961426 -0.0007543475 -0.0038158777 0.001958522 -0.0030660082 0.004087059 -0.0045300378 0.0042181974 0.00467908 0.0008431217 
ZDHHC22	-0.0032465223 -0.0022145896 -0.0040417416 0.0037861497 -0.0018491927 -0.0010326789 0.00025237782 -0.0014116009 -0.0011953316 -0.004741446 0.0044666827 0.004096262 0.0026672294 0.0035249535 -0.004121877 0.0047787754 -0.0011512933 -0.0018947537 0.00020782906 0.0033181733 0.0031377093 -0.0028425374 -0.001737475 -0.0033251054 -0.0015376204 -8.02815e-05 -0.004055771 0.0038510268 -0.0031269498 0.0034706218 -0.00016093369 -0.0034185268 0.0034923789 -0.0028984537 0.0013193097 -0.0041251043 0.0029254567 -0.0012339018 -0.001203367 0.0043075974 -0.0022686818 -0.001496173 -0.004717262 0.00042808586 0.003270933 0.00052604027 0.0036982407 -0.0042944336 0.0034022261 0.0038628292 0.0033136243 -0.001658864 -0.0030603746 -0.0017251759 -0.0039242906 0.0032246849 -0.0026253795 0.00064625207 -0.0028831877 -0.0009001414 0.0010316112 -0.0012732827 -0.002395907 0.004600066 0.0008943606 -0.00025167878 -0.0020548461 0.0020628916 0.0007105854 0.0028074216 -0.0024305668 0.0024699045 -0.0015576544 0.0038211818 0.0024592187 -0.0032964635 0.0041607246 0.004422513 0.0009685459 -0.0019441494 0.0037621607 -0.0017064015 0.002047856 -0.002983646 0.0031680088 0.0035836978 -0.0007800495 -0.000132572 0.0029887317 -0.0028563628 -0.0023609158 -0.0017283534 0.0038708795 -0.002590476 0.0021160056 -0.0044139335 -0.00025017263 -0.0016476153 0.003998896 0.003463763 
NCR3	0.0036673117 0.0037208383 -0.0027771092 0.0005168693 0.0031797506 -0.004202428 -0.0014282924 -0.0031882906 0.003388364 -0.0015367701 0.0034420383 0.0013722202 0.0022295264 0.00390423 0.00029984815 0.0021435504 -0.0023234303 0.0036332658 -0.0014425869 0.0035020323 -0.0027436242 -0.003887894 0.00017300899 -0.0025777763 -0.0042471536 -0.0049463185 -0.00034966366 -0.004742942 -0.0034632005 -0.00010275487 -0.0022673937 -0.000963375 -0.0039392593 -0.0005095515 -0.00074983883 -0.0023288014 0.0025087425 0.002156648 -0.003664278 -0.002411452 -0.004964758 -0.0049834074 -0.001615561 0.002159337 -0.0013782699 -0.0042885332 -0.001075647 -0.0045132237 0.0037088622 0.0037449033 0.00011327319 0.0018063684 -0.0010795349 0.002624635 -0.0028960067 0.003581332 -0.0025930558 0.0006455153 0.00094460044 0.0037243473 -0.003551432 0.0018821681 0.0016885 -0.0013388057 0.0013959092 0.0024645722 0.0049953666 0.0029899948 -0.0031820263 -0.0047086347 -0.0021340048 -1.1756551e-05 -0.0020458554 -0.004246914 -0.0017666491 0.0019720588 0.00432901 0.0010408579 0.0025084831 -0.003858153 0.0007588911 0.00070239336 -0.0032021108 0.0020626287 0.0042437618 0.00042418274 -0.0037066243 0.0042275037 0.0022402662 -0.0016353895 -0.004075275 0.0031239102 0.003775543 -0.003917721 0.0040075346 0.0043362123 0.0020175993 -0.001293093 0.0017628102 0.00023643079 
DARS	-0.0020272492 0.0048469617 -0.004671623 -0.004015432 -0.002418089 -0.0004459861 0.0004815284 0.0012762642 0.0033590524 0.00324121 -0.0038530182 -0.004566652 -0.0028752051 -0.0012955688 -0.004737362 0.002389148 0.0046048774 0.0004347978 0.00027551546 0.00042377875 -0.004151058 -0.0026388047 -0.0030957176 0.0033576386 -0.002836582 -0.0018598011 0.0047049937 -0.0043774866 0.0007282255 -0.0011087399 -0.00022628835 0.0022108012 -0.0020165537 -0.00020988077 -0.00020132695 -0.0048379106 -0.00022392134 -0.0014949713 0.0049883747 -0.003060053 0.0033697085 0.0025426396 0.0025456871 -0.0040436215 0.0049171853 0.0021458655 -0.0018360493 -0.0030050047 0.0037952736 0.0041384534 0.0016036729 0.0011789658 0.002148086 0.0018751342 0.0015592996 0.0035501174 -0.0020993685 0.0028342155 0.0048221466 0.0042728493 0.002461895 -0.003364648 -0.0032063143 -0.0018594783 -0.00079444406 -0.0027903882 -0.0045552417 -0.0011935172 -0.0036851226 8.834548e-05 0.0022373737 0.0006760587 0.0022696422 0.0019558962 0.0022261175 0.0014269559 0.004597981 -0.004602876 -0.0049362085 0.000650938 -0.00038112627 -0.0041634105 -0.0032888544 -0.0043137837 -0.0042206203 0.0029188301 4.0767674e-05 -0.0007386302 0.00034216343 0.00030115133 0.0014055232 0.001644756 -0.0023907737 0.0012472317 0.0010771888 0.00334881 0.0033854179 -0.003960701 -0.0036763698 0.0045763296 
MLLT1	-0.0019135827 -0.0012387282 -0.0014072802 -0.002114501 0.0047539873 -0.0005525095 0.0008057642 -0.0013480709 -0.0041646766 -0.00018800437 -0.0033586002 -6.612813e-05 0.0027653205 0.001509912 -0.0032394077 0.0012502011 -0.004038883 -0.00014767819 -0.0041687014 0.003377031 0.0041585043 0.0015649729 0.00065066904 0.0033539317 -0.0034390325 0.0049018585 -0.004839994 0.00044051604 -0.0028814971 -0.0042012474 -0.003487475 -0.003836638 0.003378349 -0.0031834855 0.003986278 0.0024395264 -0.003890583 0.003429569 0.0018933438 0.0046896436 -0.0035448843 -0.0036831305 -0.0010124187 -0.0012988832 0.0028682738 0.004107454 -0.0036519512 -0.0020951773 0.0018009463 0.002283552 0.0013523567 -0.002464834 -0.0007781144 -0.0036858295 -0.0002592565 -0.0034244293 0.0023025337 0.0013072176 0.0044633686 -0.0014528066 -0.0016594223 -0.0021917066 -0.004409077 0.0010445925 -0.0043603266 0.004760507 -0.0030638105 -0.004548892 -0.0003856666 7.824442e-05 -0.0025764192 0.00053180195 -0.003998358 0.0029028093 -0.0044526225 0.0009080312 0.0042751017 0.004634943 -0.0010547051 0.003079633 -0.0010630823 0.004589237 0.00016104181 0.0016323385 0.0005104956 -0.0012284875 0.0011304662 0.0009992277 -0.0046654725 0.004658231 0.0016391174 0.0041110744 -0.0027400611 -0.0009334813 -0.0030188505 -0.004798183 0.0023751906 -0.0007158984 -0.00093950995 -0.0017120404 
ETV7	0.0038651072 -0.004136065 -0.0036297496 -0.002616105 -0.0024535623 0.0018665402 0.0032643143 -0.0048511326 -0.0034951787 0.00084485475 -0.0002280223 -0.0012995324 -0.003754004 -0.003436903 0.0023834913 -0.004371649 -0.0032017173 -0.0032997406 0.0036810208 -0.0026118504 -0.002512633 0.00050882605 0.003711 -0.0035617808 0.0014887007 -0.00067696476 0.002288599 0.0017696269 0.0035941168 -0.0005598953 -0.0007260432 -0.0015534007 0.0011702356 0.0009101801 0.0022207948 -0.003193831 -0.0026502705 -0.0025339716 0.0036523738 -0.0015221803 0.0038703275 0.0036866555 0.0017115809 0.0011594571 -0.0014160593 0.0041253855 0.0025272872 -0.0012229211 -0.00052047544 0.0002728477 0.00087988476 -0.0028913375 -0.0028051515 0.0032246609 0.0017232631 -0.003506415 -0.0026428897 -0.0027618522 -0.0021744005 0.001691615 0.0049818614 -0.0023961172 -0.0003760221 -0.0010300482 0.0005708751 -0.0020346488 -0.0046844436 0.0027652753 -0.0011150425 -0.0033446134 0.0020538846 0.0027324136 0.0011346776 -0.0017901395 -0.004435963 0.0022839322 0.0039495537 -0.004519134 0.0010859976 0.002896828 -0.0030973875 0.0043145204 0.004075487 -0.004708333 0.0025627157 -0.0006146302 -0.004817543 0.004671572 -0.0018551355 -0.0037050548 0.004161508 0.004867692 0.0037241315 0.0034564976 0.0004492964 -0.00061944773 0.003132031 0.002875926 -0.00205089 -0.00296195 
EID2	-9.60904e-05 -0.00425188 0.0038740742 0.004321754 -0.001159021 0.0041896226 9.413706e-05 -0.0034808207 0.0005145756 -0.001681269 -0.0032022959 0.0036727455 -0.0015740283 0.003382109 0.002493712 0.0046221297 0.0012569501 -0.0037017993 -0.004185642 -0.002334847 0.0021080335 0.004033919 -0.0008989912 -0.003394137 0.004449664 -0.002027533 -0.0034310825 0.0036477158 0.0038367445 0.002199214 0.0036304093 0.0024268292 0.0027257956 0.0017299734 -0.0011325602 -0.004535672 -0.0033703288 0.0018726104 -0.002896263 0.00038662762 -0.0021538176 0.0030981593 -0.00092437596 0.002564314 0.0040088864 -0.0011400848 -0.0013906568 0.0040989555 -0.0032876222 0.0004186908 -0.00413458 0.0008767656 0.0004847163 -0.0012356346 0.003917802 -0.0018325952 -0.0027918955 -0.0002085383 -0.0043651527 0.0032068125 7.8036144e-05 0.0025489673 -0.0005694696 0.0026950033 0.0033869133 0.00322087 0.0021013755 0.0017784501 -0.0013490095 0.000512014 -0.0015041004 -0.0040087667 0.0013688004 0.0012277552 0.0048711495 -0.003186109 -0.0012302705 0.00041714392 -0.002606558 -0.004783376 0.0007377398 0.0037727582 0.0013011151 0.00051346846 -0.0010221478 0.004450046 0.0021958556 0.004250511 -0.0038119894 -0.0049049454 2.949373e-05 0.0049104085 -0.0030268296 -0.0037917786 -2.5418536e-05 -0.00499135 0.0034171098 -0.0011884645 -0.00065825623 0.003972762 
GCLC	0.000742786 0.00053179724 -0.00438329 0.0038112318 -0.003030401 -0.000154172 -0.0020632818 -0.0027294247 0.0017030422 -0.0016979056 0.0023010685 -0.000503203 -0.0038858952 0.00128073 0.0028373862 0.00042571485 -0.0026880652 0.002323503 -0.00029990126 0.001192025 -0.003993323 0.0036736105 0.00040936947 0.004924862 0.004831996 0.0040707877 -0.0037863962 -0.0002758065 -0.0009728882 -0.0030860186 -0.0002753542 0.0027497348 -0.0026166935 0.0010837198 -0.0048690415 -0.0020145366 -0.0041344776 0.0036372181 0.0033297972 0.0037401454 -0.0037875534 0.0018162153 -9.2531045e-06 0.0007131974 -0.00086904754 -0.0041249804 0.0022460143 -0.0025401455 -0.004782059 -0.0019779506 0.0010206966 0.0033133284 0.0030017456 0.0010347805 0.00051839504 3.5418536e-05 -0.0049108365 0.0006329721 0.0023719054 -0.0039331825 0.003200698 0.0047681043 -0.0045483275 0.0047814664 -0.00014619778 -0.0009936885 -0.0039885393 0.0033525499 -0.00468911 -0.004295132 0.0009215258 0.0011799566 -0.004900646 -0.0031162372 0.00478928 0.001832203 0.003185096 -0.000115916475 -0.0046673003 -0.0043155104 0.0043107267 -0.00023585434 0.0047414326 0.0026070743 0.0005382063 0.0019633274 -0.0024782035 -0.0046408293 -0.003749609 0.002787398 0.0021251019 0.0033332577 -0.0025013834 -0.002102244 -0.004754551 -0.002191151 0.0017072305 0.0006863026 -0.0027377405 -0.0038602191 
NAA35	-0.00086924864 -0.00076067663 2.4423036e-05 0.0016940914 0.003578798 0.0018182825 -0.004061536 0.003681632 0.0013902966 0.0007400067 0.0022116017 -0.0019984285 0.00459942 0.004053135 0.0033189964 0.0039057317 0.0016284145 -0.00014747214 0.0015620016 0.0043448284 0.003838613 -0.00015335275 0.00087405305 -0.0018860113 0.0010282549 0.0048381784 0.0011341912 0.0016769439 -0.0023942092 0.0021361178 0.0031775513 0.0034810521 0.0031990565 -0.004995825 -0.0013284956 0.0014886262 -0.00460562 0.0015380133 -0.0021714824 -0.00058515655 -0.0049307314 -0.0048082834 -0.00057709654 -0.003906376 0.0017731553 0.0047628987 -0.0010659941 -0.0006325657 -0.00012459366 0.0038063596 0.0012095731 -0.0012550227 -0.00012257142 -0.0016151908 -0.00015552343 0.0018919896 -0.003712365 -0.004421287 0.00013545234 0.0015539713 -0.0049128328 -0.0034647207 0.00046147296 0.0022194304 0.0020025007 -0.0014763292 0.003158619 -0.0014179162 -0.004741089 0.0022644962 -0.0045693167 0.0035002686 -0.0007906309 -0.000657409 0.004865564 -0.002741881 0.0040615997 -0.0022502467 0.004342157 0.0039479015 -0.0032808213 -0.0028581212 -0.0025195046 -0.0045550214 0.004185751 0.0041412693 0.0006428642 0.0022314193 -0.003587674 -0.0022742422 -0.0030737005 0.0012928229 -0.002913359 -0.0004245859 -0.0023304063 0.0042782803 -0.00077755976 -0.004080047 0.0036306456 0.0015968255 
HEY1	-0.0031013452 -0.0026087107 0.001638138 0.00053968374 0.0010248502 -0.002687447 -0.0015482947 -0.002472276 0.00012583406 -0.0027786724 -0.002254491 -0.0040279017 0.0036807319 0.0045725917 0.00039368786 -0.00044587994 -0.0048075854 -0.0040085153 0.003223701 0.0007370572 0.0029459374 -0.0027335302 0.003339753 0.003739172 0.0024080002 0.00072785735 -0.0022299523 -0.0013821212 -0.001726717 0.0037397346 0.00088471314 -0.0014847899 0.004307557 -0.004517099 -0.0009410005 0.004776841 0.003268705 0.0015159108 0.0042456966 0.003385655 0.00028866113 -2.3882529e-05 -0.003749886 -0.00017587097 0.0018897384 -0.002900651 0.0012773859 0.00093437417 -0.0038987314 -0.0032765004 -0.0026614454 -0.0048302165 -0.0015403839 0.0014638301 0.0046788054 -0.004462909 0.0009735526 -0.002749691 -0.004450017 -0.0033976475 0.00071802817 -0.001834428 0.0021806727 0.0016140917 -0.0003549048 -0.0001670551 -0.0018396147 -0.0029167766 -0.0013863472 -0.004633401 0.0038304022 -0.002495263 -0.0028452757 0.0013066094 0.0017954248 0.00037419458 0.004160301 -0.0032636228 0.002786019 0.0019111979 0.00079831056 0.0018368125 -4.953099e-05 0.0033398801 -0.0027768856 0.004927021 0.0003186614 0.0011406624 -0.004202212 0.0030106516 -0.0039989883 -0.0026653134 -0.004151368 -0.001315762 0.0038290161 -0.0049596005 0.0020323952 0.0029942868 -0.0020489641 0.0049432544 
